,Property_Type,Price,Title,Location,Description,Time,Amenities
1090,Penthouse,"2,750,000EGP",Penthouse for sale at October plaza sodic on pool.,"October Plaza, 6 October Compounds, 6 October City, Giza","3bedrooms,4bathrooms,189sqm",Listed 4 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1091,Apartment,"6,633,000EGP",Fully finished apartment with ZERO down payment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4bedrooms,4bathrooms,175sqm",Listed 2 months ago,"Unfurnished,Security,Children's Pool,Built in Wardrobes,Balcony,Maids Room,Pets Allowed,Children's Play Area,Covered Parking"
1092,Villa,"4,200,000EGP","down payment 420K,received villa 175m ,ins 10 y","Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","3bedrooms,3bathrooms,175sqm",Listed 6 days ago,"Unfurnished,Private Garden,Concierge,Maid Service,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1093,Villa,"15,500,000EGP","S Villa for sale ,prime location , Villette Sodic","Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5bedrooms,5bathrooms,440sqm",Listed 1 month ago,none
1094,Apartment,"280,000EGP","apt145m|fully finished|immediate delivery,280K DP","Al Maqsad, New Capital Compounds, New Capital City, Cairo","3bedrooms,2bathrooms,145sqm",Listed 11 days ago,"Unfurnished,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1095,Apartment,"169,000EGP",Apartment Moon Residence Marasem Over 8 Years - DP,"Fifth Square, North Investors Area, New Cairo City, Cairo","2bedrooms,2bathrooms,130sqm",Listed 17 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Security,Concierge,Built in Wardrobes,Balcony,Maids Room,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking"
1096,Townhouse,"3,484,000EGP","Z Villa in the best phase in Taj City, villas only","Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,165sqm",Listed 24 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1097,Townhouse,"6,000,000EGP",villa 240m in  IL Bosco city + installments 9years,"IL Bosco City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","3bedrooms,3bathrooms,240sqm",Listed 13 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1098,Villa,"16,000,000EGP",Stand Alone Villa | Owest | Installments 9 years,"O West, 6 October Compounds, 6 October City, Giza","4bedrooms,4bathrooms,411sqm",Listed 6 months ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1099,Apartment,"3,318,000EGP","10% down payment of 331,800 EGP","Sawary, Alexandria Compounds, Alexandria","3bedrooms,3bathrooms,158sqm",Listed 3 months ago,none
1100,Townhouse,"1,000,000EGP",villa ready to move 240 meters in La Vista City,"La Vista City, New Capital Compounds, New Capital City, Cairo","4bedrooms,4bathrooms,240sqm",Listed 26 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1101,Apartment,"2,330,000EGP",Own Apartment 190 sqm in Eastown with installments,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,190sqm",Listed 18 days ago,"Unfurnished,Security,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Maids Room,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1102,Apartment,"2,990,000EGP",apartment for sale in Heliopolis with installments,"Isola Sheraton, El Saaqah St., Sheraton Al Matar, El Nozha, Cairo","3bedrooms,2bathrooms,150sqm",Listed 2 days ago,"Unfurnished,Security,Children's Pool,Concierge,Maid Service,Lobby in Building,Balcony,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Covered Parking,Shared Spa"
1103,Apartment,"4,401,927EGP",10%  dp receive unit in Dorra SuperLux with ACS,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","2bedrooms,3bathrooms,149sqm",Listed 2 months ago,"Unfurnished,Kitchen Appliances,Central A/C,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1104,Villa,"8,500,000EGP",Villa 4 rooms fully finished second row on sea   .,"La Vista 6, La Vista, Al Ain Al Sokhna, Suez","4bedrooms,5bathrooms,233sqm",Listed more than 6 months ago,"Unfurnished,Security,Private Garden,Maids Room,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area"
1105,Twin House,"4,350,000EGP",First row - Twin house Prime location / Telal,"Telal Al Sokhna, Al Ain Al Sokhna, Suez","3bedrooms,3bathrooms,140sqm",Listed 2 months ago,"Unfurnished,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Maids Room,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1106,Villa,"1,000,000EGP",Villa for sale twin house in Azar Compound,"Azzar, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5bedrooms,4bathrooms,305sqm",Listed more than 6 months ago,"Unfurnished,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1107,iVilla,"3,035,000EGP",Beach house for sale in Mountain View Lagoon Park,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,275sqm",Listed 26 days ago,"Unfurnished,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Maids Room,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1108,Apartment,"3,300,000EGP","With down payment 155K apartment 170M,inst 8 years","Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,170sqm",Listed 6 days ago,"Unfurnished,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,View of Water,View of Landmark,Children's Play Area,Covered Parking,Shared Spa"
1109,Villa,"7,014,300EGP",Standalone Villa in Badya Palm Hills with 0% dp,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","3bedrooms,4bathrooms,255sqm",Listed 24 days ago,"Unfurnished,Security,Private Garden,Children's Pool,Built in Wardrobes,Balcony,Shared Gym,Maids Room,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1110,Villa,"370,000EGP",Monthly install 43K for a town house in Shorouk,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","4bedrooms,4bathrooms,220sqm",Listed 11 days ago,none
1111,Villa,"15,800,000EGP",Standalone Palm Hills PK1 Under Market Price,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo","5bedrooms,5bathrooms,800sqm",Listed 2 days ago,"Unfurnished,Security,Private Garden,Maid Service,Balcony,Maids Room,Pets Allowed,View of Water"
1112,Chalet,"2,500,000EGP",Chalet 1 Bedroom Direct on Lagoon Installment Faya,"Marassi, Sidi Abdel Rahman, North Coast","1bedroom,1bathroom,70sqm",Listed 5 days ago,"Unfurnished,Central A/C,Security,Shared Gym,Shared Pool,Pets Allowed,View of Water,Shared Spa"
1113,Duplex,"11,000,000EGP",Cliffside Upper in goldcliff with install. till 26,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza","3bedrooms,5bathrooms,350sqm",Listed 13 days ago,"Unfurnished,Central A/C,Security,Lobby in Building,Balcony,Maids Room,Pets Allowed,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking"
1114,Apartment,"580,000EGP",Apartment with garden in Badya at a special price,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","3bedrooms,2bathrooms,171sqm",Listed 2 months ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1115,Apartment,"6,400,000EGP",Duplexes for sale in Sheikh Zayed for sale,"Canal Walk, 205, 26th of July Corridor, Sheikh Zayed City, Giza","3bedrooms,2bathrooms,255sqm",Listed 1 month ago,"Unfurnished,Security,Private Garden,Maid Service,Balcony,Shared Gym,Maids Room,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Shared Spa"
1116,iVilla,"6,500,000EGP",IVilla Garden Resale Mountain View Hyde Park fully,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,278sqm",Listed 18 days ago,"Unfurnished,Central A/C,Security,Private Garden,Children's Pool,Lobby in Building,Balcony,Shared Gym,Maids Room,Shared Pool,Pets Allowed,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1117,Villa,"16,000,000EGP",Villa for sale 410m in Mivida Fifth Settlement,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4bedrooms,4bathrooms,331sqm",Listed 1 month ago,none
1118,Apartment,"900,000EGP",apartment 120m 20%dp Bait AlWatan-Fifth Settlement,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo","3bedrooms,2bathrooms,120sqm",Listed 12 days ago,"Unfurnished,Security,Concierge,Lobby in Building,Balcony,Covered Parking"
1119,Duplex,"450,000EGP","Villa Duplex |Down payment 425,000","Isola, Hadayek October, 6 October City, Giza","3bedrooms,2bathrooms,450sqm",Listed 1 month ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1120,Apartment,"2,700,000EGP",Own Apart.180 M ready to move in Sheraton-superlux,"Masaken Sheraton, Sheraton Al Matar, El Nozha, Cairo","3bedrooms,2bathrooms,180sqm",Listed 23 days ago,"Unfurnished,Security,Concierge,Balcony,Walk-in Closet,Pets Allowed,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1121,Villa,"7,405,432EGP",Villa in palm hills katameya Ex With installments,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5bedrooms,5bathrooms,313sqm",Listed 1 month ago,"Unfurnished,Central A/C,Security,Maid Service,Balcony,Walk-in Closet,Private Pool,Pets Allowed"
1122,Duplex,"2,232,000EGP",Duplex 217m third & fourth Hyde park New cairo,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,217sqm",Listed 9 days ago,"Unfurnished,Central A/C,Security,Children's Pool,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1123,Villa,"800,000EGP",villa at vinci compound new capital,"Vinci, New Capital Compounds, New Capital City, Cairo","3bedrooms,3bathrooms,300sqm",Listed 1 month ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1124,Chalet,"3,000,000EGP",Fully finished chalets in The Groove Ain Sokhna,"The Groove, Al Ain Al Sokhna, Suez","2bedrooms,2bathrooms,125sqm",Listed 2 months ago,"Unfurnished,Security,Private Garden,Balcony,Shared Gym,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1125,Twin House,"8,681,750EGP",Twin house for sale in New Giza view pyramids,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza","5bedrooms,5bathrooms,375sqm",Listed 3 months ago,"Unfurnished,Kitchen Appliances,Central A/C,Security,Maid Service,Balcony,Maids Room,Study,Shared Pool,Children's Play Area,Barbecue Area"
1126,Apartment,"2,367,200EGP",Prime location apartment 160 for sale at Hyde park,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2bedrooms,3bathrooms,160sqm",Listed 4 months ago,"Unfurnished,Security,Children's Pool,Maid Service,Balcony,Shared Pool,Pets Allowed,Children's Play Area,Barbecue Area,Covered Parking"
1127,Villa,"554,623EGP",Villa for sale with facilities in New Cairo,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5bedrooms,5bathrooms,265sqm",Listed 1 month ago,"Unfurnished,Security,Maid Service,Lobby in Building,Balcony,Shared Gym,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1128,Apartment,"9,000,000EGP",Apartment in Mivida Double View (Pool -Boulevard),"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,238sqm",Listed 6 days ago,"Unfurnished,Central A/C,Security,Balcony,Shared Pool,Pets Allowed,View of Landmark,Covered Parking"
1129,Apartment,"3,500,000EGP",For Sale Ground Apartment + Garden - Perfect View,"West Hills Residence, Ring Road, 6 October City, Giza","3bedrooms,3bathrooms,193sqm",Listed 3 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1130,Chalet,"624,000EGP","Chalet with garden for sale fully finished, ACs","Fouka Bay, Qesm Marsa Matrouh, North Coast","2bedrooms,2bathrooms,120sqm",Listed more than 6 months ago,"Partly furnished,Kitchen Appliances,Central A/C,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Maids Room,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1131,Twin House,"7,688,000EGP",Twin house for sale in Azha view on the Lagoon,"Azha, Al Ain Al Sokhna, Suez","3bedrooms,3bathrooms,170sqm",Listed 6 months ago,"Unfurnished,Security,Private Garden,Maid Service,Balcony,Shared Gym,Maids Room,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Shared Spa"
1132,Villa,"1,740,600EGP",villa354m at Zed East|5%Dp over 8y|Zed FC+Services,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","6bedrooms,6bathrooms,354sqm",Listed 26 days ago,"Unfurnished,Central A/C,Security,Balcony,Shared Gym,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1133,Duplex,"6,300,000EGP","Duplex Corner Unit For Sale at Westtown, SODIC","Westown, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","3bedrooms,3bathrooms,240sqm",Listed 14 days ago,"Unfurnished,Security,Private Garden,Children's Pool,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Maids Room,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking"
1134,Villa,"15,000,000EGP",Villa for sale in the heart of 6th of October0%DP.,"Cairo Gate, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","3bedrooms,3bathrooms,350sqm",Listed 12 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1135,Villa,"17,000,000EGP",Prime Location Lake View Villa for sale in Ivory,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza","4bedrooms,4bathrooms,424sqm",Listed 28 days ago,"Unfurnished,Security,Private Garden,Balcony,Maids Room,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1136,Apartment,"140,000EGP",Without down payment|APT 225m|View lagoon|9 y inst,"Vinci, New Capital Compounds, New Capital City, Cairo","3bedrooms,3bathrooms,225sqm",Listed 11 days ago,"Unfurnished,Security,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1137,Apartment,"660,000EGP",READY TO MOVE|Flat 175m+Finished|10%Dp+8y Payment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,175sqm",Listed 1 month ago,"Unfurnished,Central A/C,Security,Private Garden,Balcony,Private Gym,Children's Play Area,Covered Parking,Shared Spa"
1138,Apartment,"2,400,000EGP",For sale apartment special location in TheSquare,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,185sqm",Listed 4 months ago,"Unfurnished,Security,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1139,Villa,"25,000,000EGP",Villa in mivida|Prime Location|Ready to move,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4bedrooms,4bathrooms,407sqm",Listed 1 day ago,none
1140,Apartment,"5,300,000EGP",Amberville Prime Location Finished With AC,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza","2bedrooms,3bathrooms,173sqm",Listed 1 month ago,"Unfurnished,Central A/C,Security,Maid Service,Lobby in Building,Barbecue Area,Covered Parking"
1141,Villa,"25,000,000EGP",Fully Furnished Villa Hacienda bay with cabana,"Hacienda Bay, Sidi Abdel Rahman, North Coast","4bedrooms,4bathrooms,357sqm",Listed 3 months ago,"Unfurnished,Kitchen Appliances,Central A/C,Security,Private Garden,Balcony,Maids Room,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area"
1142,Twin House,"396,000EGP",Twinhouse257 on sale +Best community+5% Dp+service,"IL Bosco City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","3bedrooms,3bathrooms,257sqm",Listed 2 months ago,"Unfurnished,Central A/C,Security,Children's Pool,Private Pool,Children's Play Area,Covered Parking,Shared Spa"
1143,Apartment,"365,000EGP",Luxurious Apartment 2 beds fully finished at Sodic,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2bedrooms,1bathroom,138sqm",Listed 11 days ago,none
1144,Chalet,"250,000EGP",Chalet Sea View only 25K DP -10 years  Installment,"IL Monte Galala, Al Ain Al Sokhna, Suez","2bedrooms,2bathrooms,108sqm",Listed 1 month ago,"Unfurnished,Central A/C,Security,Children's Pool,Maid Service,Balcony,Study,Pets Allowed,View of Water,Children's Play Area,Barbecue Area,Shared Spa"
1145,Chalet,"7,300,000EGP",Chalet for sale in Silversands North Coast,"Silver Sands, Qesm Marsa Matrouh, North Coast","3bedrooms,3bathrooms,174sqm",Listed 3 months ago,"Unfurnished,Kitchen Appliances,Central A/C,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1146,Twin House,"390,000EGP",Twin house210m+Installments 9Y|Wonder MarQ|Service,"The Wonder Marq, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","3bedrooms,3bathrooms,210sqm",Listed 2 months ago,"Unfurnished,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Shared Gym,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1147,Villa,"4,921,204EGP",Villa + installments in Mountain View 3 New Cairo,"Mountain View 3, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,4bathrooms,275sqm",Listed 13 days ago,"Unfurnished,Security,Private Garden,Maid Service,Balcony,Shared Gym,Maids Room,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1148,Apartment,"3,800,000EGP","Apartement for sale in Sawary, Complex Compound","Sawary, Alexandria Compounds, Alexandria","3bedrooms,3bathrooms,181sqm",Listed 20 days ago,"Unfurnished,Central A/C,Security,Concierge,Lobby in Building,Balcony,Shared Gym,Walk-in Closet,Pets Allowed,View of Landmark,Barbecue Area"
1149,Villa,"1,391,815EGP",Townhouse middle modern for sale at Hyde park .,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,4bathrooms,208sqm",Listed 20 days ago,"Unfurnished,Balcony,Shared Gym,Maids Room,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Shared Spa"
1150,Apartment,"1,702,000EGP",Own apartment 185 in New Andalus with 30% dp,"Al Andalus El Gedida, Al Andalus District, New Cairo City, Cairo","3bedrooms,3bathrooms,185sqm",Listed 13 days ago,"Unfurnished,Security,Concierge,Lobby in Building,Balcony,Covered Parking"
1151,Apartment,"1,326,000EGP",Own your apartment in Bait Al Watan 170 m-20%dp,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo","3bedrooms,2bathrooms,170sqm",Listed 12 days ago,"Unfurnished,Security,Concierge,Lobby in Building,Balcony,Covered Parking"
1152,Chalet,"9,850,000EGP",Chalet 3 Br + Garden 240m North Upgraded Finish,"Marassi, Sidi Abdel Rahman, North Coast","3bedrooms,2bathrooms,120sqm",Listed 5 months ago,"Unfurnished,Central A/C,Security,Private Garden,Shared Gym,Shared Pool,Pets Allowed,Children's Play Area,Barbecue Area,Shared Spa"
1153,Villa,"34,000,000EGP",Own Your Standalone Villa in Mirage City golf view,"Mirage City, The 1st Settlement, New Cairo City, Cairo","4bedrooms,5bathrooms,680sqm",Listed 6 months ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1154,Apartment,Askforprice,ready to move apartment with 30% down payment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,200sqm",Listed 2 months ago,"Unfurnished,Security,Children's Pool,Lobby in Building,Balcony,Private Gym,Shared Gym,Study,Walk-in Closet,Private Pool,Shared Pool,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1155,Villa,"4,200,000EGP",Villa corner with 5% dp and instalment 8 years,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,147sqm",Listed 1 month ago,none
1156,Apartment,"1,700,000EGP",شقة لقطه 3غرف3حمام بكمبوند جامعة القاهرة خالصه,"Cairo University Compound, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","3bedrooms,3bathrooms,190sqm",Listed 19 days ago,"Unfurnished,Security,Private Garden,Children's Pool,Concierge,Maid Service,Lobby in Building,Balcony,Private Gym,Shared Gym,Pets Allowed,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1157,Apartment,"1,353,000EGP",Own your apartment 165m -second District,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,165sqm",Listed 12 days ago,"Unfurnished,Security,Concierge,Lobby in Building,Balcony,Covered Parking"
1158,Villa,"18,500,000EGP",River Walk Compound Villa Standalone For Sale,"River Walk, North Investors Area, New Cairo City, Cairo","6bedrooms,7bathrooms,900sqm",Listed 1 month ago,"Unfurnished,Central A/C,Security,Private Garden,Built in Wardrobes,Balcony,Maids Room,Study,Walk-in Closet,Pets Allowed,Covered Parking"
1159,Villa,"28,000,000EGP",Standalone for sale in Lake View 600m,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5bedrooms,4bathrooms,600sqm",Listed 2 days ago,"Unfurnished,Security,Private Garden,Maid Service,Balcony,Maids Room,Pets Allowed,Children's Play Area"
